{'weights': [0.05, 0.1, 0.85], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 108812.92016806721, 'shape_smoothness': 69.96278981438871, 'edge_consistency': 426605.3000372757, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8908009079588165, 'intensity_variance_error': 0.7339871175361115, 'peak_intensity_consistency': 12.925481772731994, 'ge_normalized': 0.5244413076639393, 'ge': 240817.69531977177, 'spatial_spread_error': 13.251963356517534, 'gap_error': 0.874228652336494}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 31663.194957983196, 'shape_smoothness': 58.55911552255009, 'edge_consistency': 426711.11951383733, 'edge_intensity_error': 0.5551936947999153, 'intensity_gradient_error': 0.8415243423829781, 'intensity_variance_error': 0.6750921524409749, 'peak_intensity_consistency': 11.094466030134233, 'ge_normalized': 0.6911397117692469, 'ge': 154256.739269721, 'spatial_spread_error': 10.146970584218462, 'gap_error': 0.8762425749063567}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 36916.91658986175, 'shape_smoothness': 83.63032632815548, 'edge_consistency': 426834.4139857514, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9638007286643971, 'intensity_variance_error': 0.8179159062055886, 'peak_intensity_consistency': 13.541068478586974, 'ge_normalized': 0.6085074860999741, 'ge': 186020.32721741893, 'spatial_spread_error': 12.649711566430584, 'gap_error': 0.875171409156585}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 28686.502936658537, 'shape_smoothness': 60.25199515526274, 'edge_consistency': 426558.2677509796, 'edge_intensity_error': 0.5975058612773144, 'intensity_gradient_error': 0.8316211776992103, 'intensity_variance_error': 0.7064594606976943, 'peak_intensity_consistency': 10.251738696588184, 'ge_normalized': 0.6787572162163799, 'ge': 149645.415983767, 'spatial_spread_error': 9.997550224464627, 'gap_error': 0.8821766985387932}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 37028.76293995859, 'shape_smoothness': 76.02492589019268, 'edge_consistency': 426744.4777373022, 'edge_intensity_error': 0.03190629218985593, 'intensity_gradient_error': 1.0764534082307293, 'intensity_variance_error': 0.8762254877317527, 'peak_intensity_consistency': 11.804047913920222, 'ge_normalized': 0.4393753772607422, 'ge': 234677.95188519263, 'spatial_spread_error': 13.52639379684051, 'gap_error': 0.8819650895455472}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 28947.24275774826, 'shape_smoothness': 59.88500004533706, 'edge_consistency': 426548.50920327, 'edge_intensity_error': 0.5927778574646515, 'intensity_gradient_error': 0.8322204832400889, 'intensity_variance_error': 0.7057406911428298, 'peak_intensity_consistency': 10.23182600725862, 'ge_normalized': 0.681409990901317, 'ge': 149564.0697801748, 'spatial_spread_error': 9.968623144865123, 'gap_error': 0.8678452086942133}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40580.436507936516, 'shape_smoothness': 250.64632404330996, 'edge_consistency': 425737.60723379505, 'edge_intensity_error': 0.09781410970578186, 'intensity_gradient_error': 1.0039176456822718, 'intensity_variance_error': 0.7411278640545894, 'peak_intensity_consistency': 17.93827796322295, 'ge_normalized': 0.7164682542298314, 'ge': 187994.60183897175, 'spatial_spread_error': 13.553103242948959, 'gap_error': 0.8971655068859907}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 19068.055363155363, 'shape_smoothness': 233.62753514590824, 'edge_consistency': 426461.90990157245, 'edge_intensity_error': 0.7431318259719893, 'intensity_gradient_error': 0.9626339168409045, 'intensity_variance_error': 0.7056086593292769, 'peak_intensity_consistency': 14.723670321693204, 'ge_normalized': 0.5567862165403409, 'ge': 196137.20126937862, 'spatial_spread_error': 12.43177824435329, 'gap_error': 0.9026916930059747}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 19826.851971557855, 'shape_smoothness': 87.55674730502456, 'edge_consistency': 426285.21253538894, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.0193857758909626, 'intensity_variance_error': 0.8033393203283398, 'peak_intensity_consistency': 10.958650630615507, 'ge_normalized': 0.5534566495575897, 'ge': 196778.66516556006, 'spatial_spread_error': 12.25434918086284, 'gap_error': 0.9052329154139885}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 16354.497744360902, 'shape_smoothness': 161.71342518253357, 'edge_consistency': 426290.23140538874, 'edge_intensity_error': 0.15965907060485454, 'intensity_gradient_error': 0.9501122288849807, 'intensity_variance_error': 0.7276316543229315, 'peak_intensity_consistency': 11.77932346352536, 'ge_normalized': 0.546793290426632, 'ge': 181266.26671510455, 'spatial_spread_error': 12.65398623142228, 'gap_error': 0.8899776322638364}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 73091.38074441688, 'shape_smoothness': 136.36816511774208, 'edge_consistency': 425735.6287680155, 'edge_intensity_error': 0.005245315716789693, 'intensity_gradient_error': 1.0971244568784984, 'intensity_variance_error': 0.7506394403188454, 'peak_intensity_consistency': 14.222361383358484, 'ge_normalized': 0.6185069154864474, 'ge': 189976.11418142798, 'spatial_spread_error': 12.885611600126195, 'gap_error': 0.875345044469205}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 61190.5932437276, 'shape_smoothness': 127.76090286487413, 'edge_consistency': 426128.44837893895, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.0478099576127566, 'intensity_variance_error': 0.7530906751648966, 'peak_intensity_consistency': 12.231261117137601, 'ge_normalized': 0.6185373193806886, 'ge': 186140.6836425256, 'spatial_spread_error': 13.099939386151169, 'gap_error': 0.8663531467664666}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 14920.449999999999, 'shape_smoothness': 137.18625519849343, 'edge_consistency': 1088940.5957028756, 'edge_intensity_error': 0.18312340876589736, 'intensity_gradient_error': 1.0042743610004587, 'intensity_variance_error': 0.5434453060000856, 'peak_intensity_consistency': 14.224214170728049, 'ge_normalized': 0.5483378940050713, 'ge': 153720.53139917142, 'spatial_spread_error': 11.864781618610783, 'gap_error': 0.8909997053146129}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 11495.142577030812, 'shape_smoothness': 62.09905265718793, 'edge_consistency': 426457.09570418013, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.057187504338675, 'intensity_variance_error': 0.879425747842339, 'peak_intensity_consistency': 9.964444000548626, 'ge_normalized': 0.5914614695083714, 'ge': 179425.9187319531, 'spatial_spread_error': 13.129362111107982, 'gap_error': 0.8546691274833597}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 70967.28095238096, 'shape_smoothness': 121.5722636606305, 'edge_consistency': 426412.71052525454, 'edge_intensity_error': 0.4503638564776214, 'intensity_gradient_error': 1.130090119574273, 'intensity_variance_error': 0.7884816556406152, 'peak_intensity_consistency': 14.515105278164866, 'ge_normalized': 0.5689885656385165, 'ge': 220652.04676381193, 'spatial_spread_error': 14.089707760165288, 'gap_error': 0.87585236377427}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17063.235714285718, 'shape_smoothness': 226.9682979745497, 'edge_consistency': 423942.71325453115, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9636565602198625, 'intensity_variance_error': 0.5827655267932919, 'peak_intensity_consistency': 8.944176614223606, 'ge_normalized': 0.5066071118100693, 'ge': 200810.23670986213, 'spatial_spread_error': 13.86684146830155, 'gap_error': 0.9084925177387525}
{'weights': [0.05, 0.2, 0.75], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 24204.33142857143, 'shape_smoothness': 69.51213896981952, 'edge_consistency': 426375.74128959636, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.1307292178557298, 'intensity_variance_error': 0.7599544202133567, 'peak_intensity_consistency': 12.07740342346166, 'ge_normalized': 0.46969281058624546, 'ge': 223636.26686955162, 'spatial_spread_error': 13.986316598314431, 'gap_error': 0.854718317169988}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 70885.54579831932, 'shape_smoothness': 94.69956190593807, 'edge_consistency': 426131.2699979515, 'edge_intensity_error': 0.2329509805669753, 'intensity_gradient_error': 0.8404264180034878, 'intensity_variance_error': 0.6349407302122714, 'peak_intensity_consistency': 16.687844204404403, 'ge_normalized': 0.5638424858116413, 'ge': 209855.81942438195, 'spatial_spread_error': 12.910652790509653, 'gap_error': 0.8951073897716076}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17901.904761904763, 'shape_smoothness': 82.67645012137277, 'edge_consistency': 426180.9953091061, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8781960792483119, 'intensity_variance_error': 0.7043321549598186, 'peak_intensity_consistency': 12.899620989952615, 'ge_normalized': 0.5414591233497305, 'ge': 219520.04166604244, 'spatial_spread_error': 12.707221866399783, 'gap_error': 0.9033892142715673}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 12879.704537815125, 'shape_smoothness': 139.64758686636068, 'edge_consistency': 426218.74996464426, 'edge_intensity_error': 0.3781867030579023, 'intensity_gradient_error': 0.9622196756011694, 'intensity_variance_error': 0.5625860110983292, 'peak_intensity_consistency': 12.64839555553179, 'ge_normalized': 0.6970778802133054, 'ge': 131842.80436630498, 'spatial_spread_error': 11.913132835637311, 'gap_error': 0.8760096961269568}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 30512.813759716984, 'shape_smoothness': 44.060060854364, 'edge_consistency': 426428.3762564145, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.801257665719208, 'intensity_variance_error': 0.6733777854648794, 'peak_intensity_consistency': 7.767306664155119, 'ge_normalized': 0.6715493245897118, 'ge': 153424.41379601802, 'spatial_spread_error': 10.144779210155852, 'gap_error': 0.882795466065454}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 11478.004761904762, 'shape_smoothness': 81.73840478827087, 'edge_consistency': 426176.6709628801, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.246717311493055, 'intensity_variance_error': 0.7413608687457112, 'peak_intensity_consistency': 5.908791643629658, 'ge_normalized': 0.6086644962506168, 'ge': 170437.91558360317, 'spatial_spread_error': 11.89825405029783, 'gap_error': 0.8386992909092541}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 15774.025630252101, 'shape_smoothness': 59.19912006269186, 'edge_consistency': 426460.5054237713, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9438490590755184, 'intensity_variance_error': 0.7365007500507669, 'peak_intensity_consistency': 10.841484391866162, 'ge_normalized': 0.5899011506199799, 'ge': 208939.92171654245, 'spatial_spread_error': 11.958505147971783, 'gap_error': 0.885909165671281}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 32792.788602941175, 'shape_smoothness': 49.26580064830862, 'edge_consistency': 426564.88691440737, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.839135127423518, 'intensity_variance_error': 0.7060522198079764, 'peak_intensity_consistency': 8.928531695524542, 'ge_normalized': 0.638353134702871, 'ge': 149894.3946492525, 'spatial_spread_error': 9.73556647402032, 'gap_error': 0.8402044692335808}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 96951.98553921568, 'shape_smoothness': 70.26731358558152, 'edge_consistency': 1090359.443025497, 'edge_intensity_error': 0.10465677399709324, 'intensity_gradient_error': 0.8346199937738934, 'intensity_variance_error': 0.756447781128574, 'peak_intensity_consistency': 17.983032337855594, 'ge_normalized': 0.6280170907481768, 'ge': 216446.42117354638, 'spatial_spread_error': 13.421294355381775, 'gap_error': 0.9049221515618272}
{'weights': [0.05, 0.25, 0.7], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 14782.929375162043, 'shape_smoothness': 44.62397728853324, 'edge_consistency': 426915.48075642716, 'edge_intensity_error': 0.27498908913428427, 'intensity_gradient_error': 1.0631884910186555, 'intensity_variance_error': 0.7938100242772573, 'peak_intensity_consistency': 7.180934358584771, 'ge_normalized': 0.49968954920236297, 'ge': 197130.11709162433, 'spatial_spread_error': 12.106971313369653, 'gap_error': 0.9029324301891264}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 18396.47575474634, 'shape_smoothness': 62.133110742799715, 'edge_consistency': 426491.5811973841, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8325430499446761, 'intensity_variance_error': 0.5777482452018503, 'peak_intensity_consistency': 12.017223695755002, 'ge_normalized': 0.5037800639789237, 'ge': 223080.362604368, 'spatial_spread_error': 10.379371226580323, 'gap_error': 0.8611348137138454}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 21956.995436507936, 'shape_smoothness': 180.68505580853505, 'edge_consistency': 426624.85561943584, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9182730492154967, 'intensity_variance_error': 0.6655479971821928, 'peak_intensity_consistency': 9.380197001772983, 'ge_normalized': 0.6009165214500779, 'ge': 193977.82489172337, 'spatial_spread_error': 11.564439371867694, 'gap_error': 0.8912397731667917}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 50522.22262200166, 'shape_smoothness': 112.47005413641789, 'edge_consistency': 426307.25824885746, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.968720660591513, 'intensity_variance_error': 0.7384389648497098, 'peak_intensity_consistency': 15.399741196310586, 'ge_normalized': 0.6034884701994255, 'ge': 204713.73916323835, 'spatial_spread_error': 12.446259158850383, 'gap_error': 0.8835872439672455}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 21847.64126984127, 'shape_smoothness': 93.53072180800359, 'edge_consistency': 1089176.5627177828, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8703136150331874, 'intensity_variance_error': 0.5562056908760228, 'peak_intensity_consistency': 9.444048223078973, 'ge_normalized': 0.7682569251742289, 'ge': 135328.97790700223, 'spatial_spread_error': 12.629426284087598, 'gap_error': 0.9034219907806285}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 70880.57619047619, 'shape_smoothness': 77.07879064341331, 'edge_consistency': 426341.1258672947, 'edge_intensity_error': 0.3310211535350538, 'intensity_gradient_error': 1.0093858430105804, 'intensity_variance_error': 0.7673994333551035, 'peak_intensity_consistency': 12.885823346987754, 'ge_normalized': 0.5228691029190117, 'ge': 229572.20892128092, 'spatial_spread_error': 13.754705471408384, 'gap_error': 0.8301231183305999}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 14114.930447330446, 'shape_smoothness': 234.40269959384523, 'edge_consistency': 426195.73067219247, 'edge_intensity_error': 0.49207102323362933, 'intensity_gradient_error': 1.0090984911513017, 'intensity_variance_error': 0.5438097375033016, 'peak_intensity_consistency': 13.549278335570847, 'ge_normalized': 0.8755402382291662, 'ge': 143741.27206914956, 'spatial_spread_error': 12.889459141153246, 'gap_error': 0.8688847262583598}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 12958.888235294116, 'shape_smoothness': 34.79027119980949, 'edge_consistency': 426877.306642551, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.0818149087892435, 'intensity_variance_error': 0.811465434304652, 'peak_intensity_consistency': 8.556198910372999, 'ge_normalized': 0.6368517131549017, 'ge': 182274.48969819417, 'spatial_spread_error': 11.483068602043268, 'gap_error': 0.8310600785553852}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 80443.6113686854, 'shape_smoothness': 100.43068202207179, 'edge_consistency': 425663.7884445566, 'edge_intensity_error': 0.18450343111645284, 'intensity_gradient_error': 0.8302985153082227, 'intensity_variance_error': 0.6808625789541122, 'peak_intensity_consistency': 17.787241960317733, 'ge_normalized': 0.5619260309816125, 'ge': 210665.35782631327, 'spatial_spread_error': 12.833233714059533, 'gap_error': 0.8942079416977183}
{'weights': [0.05, 0.35, 0.6], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 65589.58655462186, 'shape_smoothness': 69.89384735415815, 'edge_consistency': 426580.53121715615, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8818870797156194, 'intensity_variance_error': 0.6794688549695612, 'peak_intensity_consistency': 13.167583550626942, 'ge_normalized': 0.5120029364652795, 'ge': 196632.1883048889, 'spatial_spread_error': 11.451884430469441, 'gap_error': 0.8434514986799732}
{'weights': [0.05, 0.39999999999999997, 0.55], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 24426.945658263303, 'shape_smoothness': 62.25912195885943, 'edge_consistency': 426761.4909154123, 'edge_intensity_error': 0.5876524338216078, 'intensity_gradient_error': 0.8406758926862988, 'intensity_variance_error': 0.6223933688655187, 'peak_intensity_consistency': 10.994197046945322, 'ge_normalized': 0.5670997191825308, 'ge': 153053.12469392715, 'spatial_spread_error': 9.961977991606249, 'gap_error': 0.873306251297139}
{'weights': [0.05, 0.39999999999999997, 0.55], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 79026.16825396825, 'shape_smoothness': 69.82553241398553, 'edge_consistency': 426546.87616885215, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8935056793887148, 'intensity_variance_error': 0.7063096392489355, 'peak_intensity_consistency': 11.755228540626367, 'ge_normalized': 0.5240247622992625, 'ge': 227573.34796548646, 'spatial_spread_error': 13.461392531309537, 'gap_error': 0.8697602228321183}
{'weights': [0.05, 0.39999999999999997, 0.55], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 64553.82076443481, 'shape_smoothness': 69.27833700029892, 'edge_consistency': 426494.77573406766, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.879582075012341, 'intensity_variance_error': 0.6798420393780681, 'peak_intensity_consistency': 13.22881444152514, 'ge_normalized': 0.5107761365628692, 'ge': 199397.3805759659, 'spatial_spread_error': 11.466591223470715, 'gap_error': 0.8474181452854621}
{'weights': [0.05, 0.39999999999999997, 0.55], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 29894.187301587302, 'shape_smoothness': 257.26340079526295, 'edge_consistency': 426098.4449461825, 'edge_intensity_error': 0.4267876411762857, 'intensity_gradient_error': 0.9866906008422115, 'intensity_variance_error': 0.6812675163351013, 'peak_intensity_consistency': 12.685788236705468, 'ge_normalized': 0.7869712366722967, 'ge': 180667.62731522598, 'spatial_spread_error': 13.157437082916838, 'gap_error': 0.8323644026133982}
{'weights': [0.05, 0.39999999999999997, 0.55], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 20471.49984639017, 'shape_smoothness': 100.07833022810468, 'edge_consistency': 1089498.727811972, 'edge_intensity_error': 0.00038150613300369507, 'intensity_gradient_error': 0.9104866609258688, 'intensity_variance_error': 0.5508361204914198, 'peak_intensity_consistency': 6.924541760649247, 'ge_normalized': 0.8228468833761412, 'ge': 135155.85901336346, 'spatial_spread_error': 12.723058716070078, 'gap_error': 0.9095637041904253}
{'weights': [0.05, 0.39999999999999997, 0.55], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 71969.51098901099, 'shape_smoothness': 105.79624891022185, 'edge_consistency': 426795.30007281015, 'edge_intensity_error': 0.6370507059238953, 'intensity_gradient_error': 0.8681174189427826, 'intensity_variance_error': 0.7332880099190594, 'peak_intensity_consistency': 15.847849290113492, 'ge_normalized': 0.6526054022495608, 'ge': 171285.78237608518, 'spatial_spread_error': 12.132594607981341, 'gap_error': 0.8776127945360894}
